JSpub-ABB;PUB-ABB
JSpub-American Chemical Society;PUB-American Chemical Society ACS
JSpub-American Concrete Institute;PUB-American Concrete Institute
JSpub-American Institute of Physics;PUB-American Institute of Physics AIP
JSpub-American Society of Heating;PUB-American Society of Heating
JSpub-Association for Computing Machinery;PUB-Association for Computing Machinery ACM
JSpub-Audio Engineering Society;PUB-Audio Engineering Society
JSpub-Begell House Publishing Inc;PUB-Begell House Publishing
JSpub-Betriebs-Berater;PUB-Betriebs-Berater
JSpub-Bundesanstalt für Gewässerkunde;PUB-Bundesanstalt für Gewässerkunde
JSpub-Callwey Verlag:PUB-Callwey Verlag
JSpub-Carl Hanser Verlag;PUB-Hanser
JSpub-Deutsche Keramische Gesellschaft;PUB-Deutsche Keramische Gesellschaft
JSpub-Diesel & Gas Turbine Publications;PUB-Diesel & Gas Turbine Publications
JSpub-DIV Deutscher Industrieverlag GmbH;PUB-Deutscher Industrieverlag DIV
JSpub-Emerald Group Publishing Limited;PUB-Emerald
JSpub-Erich Schmidt Verlag GmbH;PUB-Schmidt
JSpub-Eurail Press;PUB-Eurail Press
JSpub-Expert Verlag;PUB-Expert Verlag
JSpub-Fachverlag Hans Carl;PUB-Fachverlag Hans Carl
JSpub-Franz Steiner Verlag;PUB-Franz Steiner Verlag
JSpub-Gentner VerlagPUB-Gentner Verlag
JSpub-Gesellschaft Sozialwissenschaftlicher Infrastruktureinrichtungen;PUB-Gesellschaft Sozialwissenschaftlicher Infrastruktureinrichtungen
JSpub-Giesel Verlag;PUB-Giesel Verlag
JSpub-Hans-Böckler-Stiftung;PUB-Hans-Böckler-Stiftung
JSpub-Huss Medien;PUB-Huss Medien
JSpub-Hüthig GmbH;PUB-Hüthig
JSpub-Industrie Service;PUB-Industrie Service
JSpub-Institut für Internationale Architektur-Dokumentation GmbH & Co;PUB-Institut für Internationale Architektur-Dokumentation
JSpub-KoBSON;PUB-KoBSON
JSpub-Konradin Verlagsgruppe;PUB-Konradin
JSpub-Le Monde Diplomatique;PUB-Le Monde Diplomatique
JSpub-Meisenbach Verlag;PUB-Meisenbach Verlag
JSpub-Naval Institute Press;PUB-Naval Institute Press
JSpub-NWB Verlag;PUB-NWB Verlag
JSpub-Oldenbourg Wissenschaftsverlag;PUB-Oldenbourg Wissenschaftsverlag
JSpub-PennWell Corporation;PUB-PennWell Corporation
JSpub-Penton Media;PUB-Penton Media
JSpub-planet EE;PUB-Planet EE
JSpub-Portal of Scientific Journals of Croatia;PUB-Portal of Scientific Journals of Croatia
JSpub-Precast Prestressed Concrete Institute;PUB-Precast Prestressed Concrete Institute
JSpub-Reed Business;PUB-Reed Business
JSpub-Reed Elsevier;PUB-Elsevier
JSpub-Reed Publishing;PUB-Reed Publishing
JSpub-Royal Aeronautical Society;PUB-Royal Aeronautical Society
JSpub-Rubber World;PUB-Rubber World
JSpub-Schiele & Schon;PUB-Schiele & Schon
JSpub-Spiegel Wissen;PUB-Spiegel Wissen
JSpub-Springer;PUB-Springer
JSpub-The American Society of Mechanical Engineers-PUB-American Society of Mechanical Engineers
JSpub-The European Union Control Association;PUB-European Union Control Association
JSpub-The McGraw-Hill Companies;PUB-McGraw-Hill Companies
JSpub-The Society of Naval Architects and Marine Engineers;PUB-Society of Naval Architects and Marine Engineers SNAME
JSpub-Thomas Telford;PUB-Thomas Telford
JSpub-TNO Built Environment and Geosciences;PUB-TNO Built Environment and Geosciences
JSpub-Vandenhoeck & Ruprecht;PUB-Vandenhoeck & Ruprecht
JSpub-VDE Verlag;PUB-VDE Verlag
JSpub-Verlag C.H. Beck oHG;PUB-C.H. Beck
JSpub-VGB PowerTech e.V.;PUB-VGB PowerTech
JSpub-Vincentz Network;PUB-Vincentz Network
JSpub-Wilmington Publishing Ltd;PUB-Wilmington Publishing
JSpub-Woods Hole Oceanographic Institution;PUB-Woods Hole Oceanographic Institution

JTpub-ACM Digital Library;PUB-Association for Computing Machinery ACM
JTpub-Acoustical Society of America (ASA);PUB-Acoustical Society of America ASA
JTpub-American Association for the Advancement of Science (AAAS);PUB-American Association for the Advancement of Science AAAS
JTpub-American Chemical Society (ACS);PUB-American Chemical Society ACS
JTpub-American Concrete Institute;PUB-American Concrete Institute
JTpub-American Counseling Association;PUB-American Counseling Association
JTpub-American Geophysical Union (AGU);PUB-American Geophysical Union AGU
JTpub-American Institute of Aeronautics and Astronautics (AIAA);PUB-American Institute of Aeronautics and Astronautics AIAA
JTpub-American Institute of Physics (AIP);PUB-American Institute of Physics AIP
JTpub-American Meteorological Society;PUB-American Meteorological Society
JTpub-American Physical Society (APS);PUB-American Physical Society APS
JTpub-American Society for Microbiology;PUB-American Society for Microbiology
JTpub-American Society of Civil Engineers (ASCE);PUB-American Society of Civil Engineers ASCE
JTpub-Annual Reviews;PUB-Annual Reviews
JTpub-ASME International;PUB-ASME International
JTpub-Association for Computing Machinery (ACM);PUB-Association for Computing Machinery ACM
JTpub-ASTM International;PUB-ASTM International
JTpub-Aviation Week;PUB-Aviation Week
JTpub-Cambridge University Press;PUB-Cambridge University Press
JTpub-Canadian Society of Soil Science;PUB-Canadian Society of Soil Science
JTpub-Coastal Education and Research Foundation;PUB-Coastal Education and Research Foundation
JTpub-De Gruyter Open;PUB-De Gruyter
JTpub-Elsevier;PUB-Elsevier
JTpub-Emerald;PUB-Emerald
JTpub-Harvard Business Publishing;PUB-Harvard Business Publishing
JTpub-ICE Publishing;PUB-ICE Publishing
JTpub-IMarEST;PUB-IMarEST
JTpub-Informa Healthcare;PUB-Informa Healthcare
